Title,Artist,Year,Position,Genre (Broad 1),Genre (Broad 2),Genre (Specific 1),Genre (Specific 2),Genre (Specific 3),Link to Audio,Time Signature 1,Time Signature 2,Tonic 1,Tonic 2,Tonic 3,Tonic 4,Tonic 5,Tonic 6,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,BPM 1,BPM 2,BPM 3
I'll Make Love to You,Boyz II Men,1994,3,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/61sQYdFNS6sEBYCyr1q5gn?si=f281bc6465f041f7,6/8,,D,,,,,,Major,,,,,,72,,
The Power of Love,Celine Dion,1994,4,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/2PFAYhBcNRj1UaluR7ZgUy?si=77d2fc38993c43ed,4/4,,Ab,,,,,,Major,,,,,,70,,
Hero,Mariah Carey,1994,5,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/4FCb4CUbFCMNRkI6lYc1zI?si=93c830ed053b48ae,4/4,,E,G,,,,,Major,Major,,,,,60,,
Gangsta's Paradise,Coolio feat. L.V.,1995,1,Hip-hop,N/A,Gangsta rap,G-funk,N/A,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4?si=cc162b2ad04e41d8,4/4,,C,,,,,,Minor,,,,,,80,,
Waterfalls,TLC,1995,2,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/6qspW4YKycviDFjHBOaqUY?si=f9b701d8f5344665,4/4,,Ab,,,,,,Major,,,,,,86,,
Creep,TLC,1995,3,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/1aWV3uY3SIEZVbmv45oFWS?si=18a6ece0cce74c15,4/4,,C,,,,,,Minor,,,,,,93,,
Kiss from a Rose,Seal,1995,4,Rock,Funk/Soul,New wave pop,N/A,N/A,https://open.spotify.com/track/3YKptz29AsOlm7WAVnztBh?si=859de7cf1ec84962,3/4,,G,G,F,,,,Minor,Major,Major,,,,132,,
On Bended Knee,Boyz II Men,1995,5,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/7MYmo0JJJDmu4MZTSAF9y3?si=37708324b7b54b42,4/4,,Eb,E,F,,,,Major,Major,Major,,,,58,,
Macarena (Bayside Boys Remix),Los del Rio,1996,1,Latin,N/A,Flamenco,N/A,N/A,https://open.spotify.com/track/2df5QsXucx4VLiHNGusXD5?si=99ca49d6971b49a0,4/4,,Db,,,,,,Major,,,,,,103,,
One Sweet Day,Mariah Carey and Boyz II Men,1996,2,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/7ySbfLwdCwl1EM0zNCJZ38?si=ecacb871ed6e4072,4/4,,Ab,B,,,,,Major,Major,,,,,64,,
Because You Loved Me,Celine Dion,1996,3,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/28UMiBhn383n9S7GL4tsxD?si=8317e9269c5e464f,4/4,,Db,Eb,,,,,Major,Major,,,,,60,,
Nobody Knows,The Tony Rich Project,1996,4,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/2PsHIonOTmX6bSrzIJSjyS?si=7a00bb4f1009495d,4/4,,F,,,,,,Major,,,,,,88,,
Always Be My Baby,Mariah Carey,1996,5,R&B,Pop,N/A,N/A,N/A,https://open.spotify.com/track/2aBxt229cbLDOvtL7Xbb9x?si=604d1a4bf89e43ad,4/4,,E,F,,,,,Major,Major,,,,,79,,
Something About The Way You Look Tonight,Elton John,1997,1a,Rock,N/A,Mellow gold,Soft rock,N/A,https://open.spotify.com/track/4l4mSq8IKgCMz0q9KFZ7tK?si=4e3692d5cabf48dc,4/4,,F#,,,,,,Major,,,,,,72,,
Candle in the Wind,Elton John,1997,1b,Rock,N/A,Mellow gold,Soft rock,N/A,https://open.spotify.com/track/3DUcaEvPO72PijivCjtZcU?si=0151e4627b86437d,4/4,,E,,,,,,Major,,,,,,63,,
Foolish Games,Jewel,1997,2a,Pop,Folk,N/A,N/A,N/A,https://open.spotify.com/track/1ZpbUftThsqFhRZu9ubWV2?si=9c6d48f1997b4594,4/4,,D#,,,,,,Minor,,,,,,68,,
You Were Meant for Me,Jewel,1997,2b,Pop,Folk,N/A,N/A,N/A,https://open.spotify.com/track/7y7aSSTiQfO0Ace4F7yxzE?si=cd373f3f40574f91,12/8,,D#,,,,,,Minor,,,,,,112,,
I'll Be Missing You,Diddy feat. Faith Evans and 112,1997,3,R&B,R&B,Hip-hop soul,N/A,N/A,https://open.spotify.com/track/3QHONiXGMGU3z68mQInncF?si=92f535d5f5c441f4,4/4,,G,,,,,,Major,,,,,,110,,
Un-Break My Heart,Toni Braxton,1997,4,Pop,R&B,N/A,N/A,N/A,https://open.spotify.com/track/5Ihd9HrPvOADyVoonH9ZjB?si=ace1895dd0a34c8f,4/4,,B,D,G#,,,,Minor,Minor,Minor,,,,110,,
Can't Nobody Hold Me Down,Diddy feat. Mase,1997,5,Hip-hop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/1EM23A621Z0QyTlWKu7T1l?si=9a1c9503ab2f4613,4/4,,Eb,,,,,,Minor,,,,,,94,,
Too Close,Next,1998,1,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/5IFCyWplye09HytIP80RCF?si=a6b4a51254f342f6,4/4,,D,,,,,,Major,,,,,,100,,
The Boy Is Mine,Brandy and Monica,1998,2,R&B,Pop,N/A,N/A,N/A,https://open.spotify.com/track/6sHsXIJoEN5JpdkGMQDJxt?si=ecfd4ab03ed74b78,4/4,,C#,,,,,,Minor,,,,,,93,,
You're Still the One,Shania Twain,1998,3,Country,Pop,Country pop,Country dawn,Contemporary country,https://open.spotify.com/track/1wb4P4F0sxAQ2KXrRvsx6n?si=bd5486b2da6d4a5f,4/4,,Eb,,,,,,Major,,,,,,67,,
Truly Madly Deeply,Savage Garden,1998,4,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/013AWvizllIUEC2FOBzOnh?si=339e5ccb11d74401,4/4,,C,,,,,,Major,,,,,,84,,
How Do I Live,LeAnn Rimes,1998,5,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/7BD50ATrF3Vab5FQy7vtK8?si=eece2656328c478b,4/4,,E,D,,,,,Major,Major,,,,,64,,
Believe,Cher,1999,1,EDM/Dance,Pop,Dance-pop,Electropop,Eurohouse,https://open.spotify.com/track/2goLsvvODILDzeeiT4dAoR?si=4ec39ed7e6594dfc,4/4,,Gb,,,,,,Major,,,,,,133,,
No Scrubs,TLC,1999,2,R&B,Hip-hop,Hip pop,N/A,N/A,https://open.spotify.com/track/0x71Ua6hHfdKWgk4XPmNn6?si=41b26718b4694668,4/4,,Ab,,,,,,Minor,,,,,,93,,
Angel of Mine,Monica,1999,3,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/1AM1o0mKbgAK5oMpY8B3Z7?si=204c2b4049594bce,4/4,,Db,,,,,,Major,,,,,,90,,
Heartbreak Hotel,Whitney Houston feat. Faith Evans and Kelly Price,1999,4,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/4J9u7UsXH7F6sFI32KnYuP?si=c63767d1af8d4758,4/4,,Eb,,,,,,Minor,,,,,,67,,
...Baby One More Time,Britney Spears,1999,5,Pop,N/A,Dance-pop,Teen-pop,N/A,https://open.spotify.com/track/3MjUtNVVq3C8Fn0MP3zhXa?si=386f37709ad44e52,4/4,,C,,,,,,Minor,,,,,,93,,
Breathe,Faith Hill,2000,1,Country,N/A,Country pop,Contemporary country,N/A,https://open.spotify.com/track/3y4LxiYMgDl4RethdzpmNe?si=65b67262b7974dd4,4/4,,G,,,,,,Major,,,,,,137,,
Smooth,Santana feat. Rob Thomas,2000,2,Rock,N/A,Latin rock,Blues rock,N/A,https://open.spotify.com/track/0n2SEXB2qoRQg171q7XqeW?si=5f595ea11f2840ec,4/4,,A,,,,,,Minor,,,,,,116,,
Maria Maria,Santana feat. The Product G&B,2000,3,Hip-hop,R&B,N/A,N/A,N/A,https://open.spotify.com/track/3XKIUb7HzIF1Vu9usunMzc?si=5f0e05e4335b4ea3,4/4,,A,,,,,,Major,,,,,,98,,
I Wanna Know,Joe,2000,4,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/1m2xMsxbtxv21Brome189p?si=ee5c7dff2a1d471f,4/4,,Gb,,,,,,Minor,,,,,,68,,
Everything You Want,Vertical Horizon,2000,5,Rock,N/A,Pop rock,Post-grunge,Alternative rock,https://open.spotify.com/track/4cKGldbhGJniI8BrB3K6tb?si=d80f1b7441414cbb,4/4,,Eb,Gb,,,,,Minor,Major,,,,,94,,
Hanging By A Moment,Lifehouse,2001,1,Rock,N/A,Pop rock,Post-grunge,Alternative rock,https://open.spotify.com/track/0wqOReZDnrefefEsrIGeR4?si=6e9d5f35b5cb4585,4/4,,Db,,,,,,Major,,,,,,125,,
Fallin',Alicia Keys,2001,2,R&B,Funk/Soul,Neo-soul,N/A,N/A,https://open.spotify.com/track/0KQx6HOpJueiSkztcS0r7D?si=00f23e2987b24939,12/8,,E,,,,,,Minor,,,,,,64,,
All For You,Janet Jackson,2001,3,Pop,R&B,Dance-pop,N/A,N/A,https://open.spotify.com/track/28IZUzBnFsBxyrgdsdlQPg?si=3b6596a2692f43ac,4/4,,G,,,,,,Major,,,,,,114,,
Drops of Jupiter (Tell Me),Train,2001,4,Rock,N/A,Pop-rock,N/A,N/A,https://open.spotify.com/track/2hKdd3qO7cWr2Jo0Bcs0MA?si=af9122c8c41848d6,4/4,,C,,,,,,Major,,,,,,79,,
I'm Real (Murder Remix),Jennifer Lopez feat. Ja Rule,2001,5,R&B,Hip-hop,N/A,N/A,N/A,https://open.spotify.com/track/1P5vjPu3EPoPwDSikHOiiq?si=0ce8ad41167b4518,4/4,,B,,,,,,Minor,,,,,,84,,
How You Remind Me,Nickelback,2002,1,Rock,N/A,Post-grunge,Alternative rock,Hard rock,https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf?si=c919ff8851e449dc,4/4,,C,,,,,,Minor,,,,,,86,,
Foolish,Ashanti,2002,2,R&B,N/A,Hip-hop soul,N/A,N/A,https://open.spotify.com/track/6zMUIb4uce1CzpbjR3vMdN?si=d008d86731944021,4/4,,C,,,,,,Major,,,,,,90,,
Hot in Herre,Nelly,2002,3,Hip-hop,N/A,Pop rap,N/A,N/A,https://open.spotify.com/track/04KTF78FFg8sOHC1BADqbY?si=043a61df255e4d08,4/4,,B,,,,,,Minor,,,,,,107,,
Dilemma,Nelly feat. Kelly Rowland,2002,4,Pop,R&B,N/A,N/A,N/A,https://open.spotify.com/track/0ARK753YaiJbpLUk7z5yIM?si=4a545ac230c34fc1,4/4,,D,,,,,,Minor,,,,,,84,,
Wherever You Will Go,The Calling,2002,5,Rock,N/A,Post-grunge,Pop-rock,N/A,https://open.spotify.com/track/5QpaGzWp0hwB5faV8dkbAz?si=e2fa572e84c04f3b,4/4,,D,,,,,,Major,,,,,,112,,
In da Club,50 Cent,2003,1,Hip-hop,N/A,East Coast hip-hop,Gangster rap,Pop rap,https://open.spotify.com/track/4RY96Asd9IefaL3X4LOLZ8?si=a511e79050eb489b,4/4,,C#,,,,,,Minor,,,,,,90,,
Ignition,R. Kelly,2003,2,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/29pIgBybQFDDuZEu2wMaEA?si=d364a5c6f73142ea,4/4,,Bb,,,,,,Minor,,,,,,66,,
Get Busy,Sean Paul,2003,3,Reggae,N/A,Dancehall,N/A,N/A,https://open.spotify.com/track/7C86DVl6REN8VPeGEMOf9q?si=e870133dd0174db8,4/4,,F,,,,,,Minor,,,,,,100,,
Crazy in Love,Beyonce featuring Jay-Z,2003,4,Pop,R&B,N/A,N/A,N/A,https://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr?si=2c611b1138634417,4/4,,D,,,,,,Minor,,,,,,99,,
When I'm Gone,3 Doors Down,2003,5,Rock,N/A,Post-grunge,Hard rock,N/A,https://open.spotify.com/track/3WbphvawbMZ8FyqDxYGdSQ?si=b5454db549244bce,4/4,,A,,,,,,Minor,,,,,,74,,
Yeah!,Usher feat. Lil John & Ludacris,2004,1,Hip-hop,R&B,Crunk&B,N/A,N/A,https://open.spotify.com/track/5rb9QrpfcKFHM1EUbSIurX?si=7fd6cfb317524fc3,4/4,,G,,,,,,Minor,,,,,,105,,
Burn,Usher,2004,2,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/7z3N2W7Xz1t2G2sAO8wFVH?si=080ed96c489d4ad2,4/4,,Db,,,,,,Major,,,,,,120,,
If I Ain't Got You,Alicia Keys,2004,3,R&B,Funk/Soul,Neo-soul,Pop soul,N/A,https://open.spotify.com/track/3XVBdLihbNbxUwZosxcGuJ?si=09dc47dfa2914c05,9/8,,G,,,,,,Major,,,,,,118,,
This Love,Maroon 5,2004,4,Rock,N/A,Pop rock,Alternative rock,N/A,https://open.spotify.com/track/6ECp64rv50XVz93WvxXMGF?si=90f90f9cc6c84db7,4/4,,C,,,,,,Minor,,,,,,95,,
The Way You Move,OutKast feat. Sleepy Brown,2004,5,Hip-hop,N/A,Hip-hop soul,N/A,N/A,https://open.spotify.com/track/5z7mYFfhw6N6f23VwrokJD?si=afb4a406aca443f0,4/4,,Eb,,,,,,Major,,,,,,126,,
We Belong Together,Mariah Carey,2005,1,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/3LmvfNUQtglbTrydsdIqFU?si=6e131badebae4a4c,4/4,,C,,,,,,Major,,,,,,70,,
Hollaback Girl,Gwen Stefani,2005,2,Hip-hop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/0LzrhCZFXW94Y8nwtTuRlw?si=eed4ef2547684657,4/4,,Eb,,,,,,Minor,,,,,,110,,
Let Me Love You,Mario,2005,3,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/3ibKnFDaa3GhpPGlOUj7ff?si=fe342fa5532a44e8,4/4,,G,,,,,,Minor,,,,,,95,,
Since U Been Gone,Kelly Clarkson,2005,4,Rock,N/A,Pop rock,Power pop,N/A,https://open.spotify.com/track/3xrn9i8zhNZsTtcoWgQEAd?si=cd5c7300128f401d,4/4,,C,,,,,,Major,,,,,,131,,
"1, 2 Step",Ciara feat. Missy Elliot,2005,5,Hip-hop,N/A,Crunk&B,Electro,N/A,https://open.spotify.com/track/7uKcScNXuO3MWw6LowBjW1?si=26d2e3dbdae84e81,4/4,,G,C,,,,,Minor,Major,,,,,113,,
Bad Day,Daniel Powter,2006,1,Pop,N/A,Pop rock,Neo mellow,N/A,https://open.spotify.com/track/0mUyMawtxj1CJ76kn9gIZK?si=9f34712d25d54610,12/8,,Eb,Gb,,,,,Major,Major,,,,,70,,
Temperature,Sean Paul,2006,2,Reggae,N/A,Dancehall,N/A,N/A,https://open.spotify.com/track/0k2GOhqsrxDTAbFFSdNJjT?si=6a9a5f89c1c041f5,4/4,,Bb,,,,,,Minor,,,,,,125,,
Promiscuous,Nelly Furtado feat. Timbaland,2006,3,Pop,Hip-hop,Electropop,Dance-pop,N/A,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN?si=ac068124d8af40b4,4/4,,Bb,,,,,,Minor,,,,,,114,,
You're Beautiful,James Blunt,2006,4,Pop,N/A,Pop rock,Neo mellow,Soft rock,https://open.spotify.com/track/0vg4WnUWvze6pBOJDTq99k?si=41be1c738e844928,4/4,,Eb,,,,,,Major,,,,,,82,,
Hips Don't Lie,Shakira feat. Wyclef Jean,2006,5,Pop,N/A,Latin pop,Reggaeton,N/A,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V?si=3792f51c2b544fcc,4/4,,Bb,,,,,,Minor,,,,,,100,,
Irreplaceable,Beyonce,2007,1,Pop,R&B,N/A,N/A,N/A,https://open.spotify.com/track/1G7DcLzPnopdZjLkev0K4e?si=1c0efabd2b6540fb,4/4,,Bb,,,,,,Major,,,,,,88,,
Umbrella,Rihanna feat. Jay-Z,2007,2,Pop,Hip-hop,N/A,N/A,N/A,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux?si=441a534e1e784474,4/4,,Db,F#,,,,,Major,Major,,,,,87,,
The Sweet Escape,Gwen Stefani feat. Akon,2007,3,Pop,N/A,Doo-wop,N/A,N/A,https://open.spotify.com/track/66ZcOcouenzZEnzTJvoFmH?si=ffeefe38d1b54123,12/8,,Bb,Db,,,,,Minor,Major,,,,,120,,
Big Girls Don't Cry (Personal),Fergie,2007,4,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/3Q4WeJmzxuDpzMu9QjQqbM?si=d2c7669a748841d8,4/4,,G,,,,,,Major,,,,,,113,,
Buy U a Drank (Shawty Snappin'),T-Pain feat. Yung Joc,2007,5,R&B,Hip-hop,Snap,N/A,N/A,https://open.spotify.com/track/1tkMs9wDPknQ3ZHcKDw1ES?si=20e21874fbc54e75,4/4,,Bb,,,,,,Minor,,,,,,80,,
Low,Flo Rida feat. T-Pain,2008,1,Hip-hop,N/A,Crunk,Pop-rap,N/A,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J?si=fa499e168d0f48c2,4/4,,Eb,,,,,,Minor,,,,,,128,,
Bleeding Love,Leona Lewis,2008,2,Pop,R&B,N/A,N/A,N/A,https://open.spotify.com/track/6LtPIXlIzPOTF8vTecYjRe?si=f49938e5c43a4b25,4/4,,F,,,,,,Major,,,,,,104,,
No One,Alicia Keys,2008,3,R&B,N/A,N/A,N/A,N/A,https://open.spotify.com/track/6IwKcFdiRQZOWeYNhUiWIv?si=3b76387c928640c8,4/4,,C#,,,,,,Minor,,,,,,90,,
Lollipop,Lil Wayne feat. Static Major,2008,4,Hip-hop,N/A,Pop rap,N/A,N/A,https://open.spotify.com/track/4P7VFiaZb3xrXoqGwZXC3J?si=3d26620ef3e54823,4/4,,D,,,,,,Minor,,,,,,148,,
Apologize,Timbaland feat. OneRepublic,2008,5,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/6ucR4KfvsBFWCMVFDvyKKl?si=14b7f59fb60f4352,4/4,,C,,,,,,Minor,,,,,,118,,
Boom Boom Pow,The Black Eyed Peas,2009,1,EDM/Dance,Hip-hop,N/A,N/A,N/A,https://open.spotify.com/track/7xRNsqOQOgWbHV1nbXnfXN?si=17abec9bc3d3464f,4/4,,A,,,,,,Minor,,,,,,130,,
Poker Face,Lady Gaga,2009,2,Pop,N/A,Synth-pop,Dance-pop,N/A,https://open.spotify.com/track/5R8dQOPq8haW94K7mgERlO?si=896b7d686c8b438d,4/4,,G#,,,,,,Minor,,,,,,119,,
Just Dance,Lady Gaga feat. Colby O'Donis,2009,3,Pop,N/A,Electropop,Synth-pop,Dance-pop,https://open.spotify.com/track/2x7MyWybabEz6Y6wvHuwGE?si=727fb6bc1e6b4020,4/4,,C#,,,,,,Minor,,,,,,119,,
I Gotta Feeling,The Black Eyed Peas,2009,4,Pop,N/A,Dance-pop,N/A,N/A,https://open.spotify.com/track/4vp2J1l5RD4gMZwGFLfRAu?si=4feea2317db7408f,4/4,,G,,,,,,Major,,,,,,128,,
Love Story,Taylor Swift,2009,5,Country,Pop,N/A,N/A,N/A,https://open.spotify.com/track/1vrd6UOGamcKNGnSHJQlSt?si=8d9544b7bac24f97,4/4,,D,,,,,,Major,,,,,,119,,
Tik Tok,Kesha,2010,1,Pop,N/A,Dance-pop,Electropop,N/A,https://open.spotify.com/track/0HPD5WQqrq7wPWR7P7Dw1i?si=b4d3205bbe114f30,4/4,,F,,,,,,Major,,,,,,120,,
Need You Now,Lady Antebellum,2010,2,Country,N/A,N/A,N/A,N/A,https://open.spotify.com/track/7h70RTLbnhDyPGXjl3iEhh?si=c4bfc52372fb40db,4/4,,E,,,,,,Major,,,,,,108,,
"Hey, Soul Sister",Train,2010,3,Pop,N/A,Pop rock,Neo mellow,N/A,https://open.spotify.com/track/4HlFJV71xXKIGcU3kRyttv?si=8e31bda3fc9b4b05,4/4,,E,,,,,,Major,,,,,,97,,
California Gurls,Katy Perry feat. Snoop Dogg,2010,4,Pop,N/A,Bubblegum pop,Disco-pop,Funk-pop,https://open.spotify.com/track/6KOEK6SeCEZOQkLj5M1PxH?si=68200025763a49fb,4/4,,F,,,,,,Major,,,,,,125,,
OMG,Usher feat. will.i.am,2010,5,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/1bM50INir8voAkVoKuvEUI?si=d3020bea7e3243ad,4/4,,E,,,,,,Minor,,,,,,130,,
Rolling in the Deep,Adele,2011,1,Pop,N/A,Pop-soul,N/A,N/A,https://open.spotify.com/track/1c8gk2PeTE04A1pIDH9YMk?si=c0bd58220bfc4fb3,4/4,,C,,,,,,Minor,,,,,,105,,
Party Rock Anthem,LMFAO feat. Lauren Bennett and GoonRock,2011,2,EDM/Dance,N/A,Dance-pop,Electropop,Synth-pop,https://open.spotify.com/track/0IkKz2J93C94Ei4BvDop7P?si=7119d8aa6f914843,4/4,,F,,,,,,Minor,,,,,,130,,
Firework,Katy Perry,2011,3,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/4r6eNCsrZnQWJzzvFh4nlg?si=2ef2c3aecf964ae7,4/4,,Ab,,,,,,Major,,,,,,124,,
E.T.,Katy Perry feat. Kanye West,2011,4,Hip-hop,Pop,Electronic,N/A,N/A,https://open.spotify.com/track/36ux3YuUsGTWPT8fXclS45?si=e46b72a9e7d1468b,4/4,,F,,,,,,Major,,,,,,75,,
Give Me Everything,"Pitbull feat. Ne-Yo, Afrojack and Nayer",2011,5,EDM/Dance,Hip-hop,Hip house,Pop rap,N/A,https://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W?si=1536a67721704aa6,4/4,,Eb,,,,,,Major,,,,,,129,,
Somebody That I Used to Know,Gotye feat. Kimbra,2012,1,Pop,N/A,Art pop,Indie,N/A,https://open.spotify.com/track/4wCmqSrbyCgxEXROQE6vtV?si=3f2306f788d946c5,4/4,,D,,,,,,Minor,,,,,,129,,
Call Me Maybe,Carly Rae Jepsen,2012,2,Pop,N/A,Teen pop,Bubblegum pop,N/A,https://open.spotify.com/track/6ol4ZSifr7r3Lb2a9L5ZAB?si=15941c8194b249d0,4/4,,G,,,,,,Major,,,,,,120,,
We Are Young,Fun feat. Janelle Monae,2012,3,Rock,Pop,Stadium rock,Indie rock,Indie pop,https://open.spotify.com/track/7a86XRg84qjasly9f6bPSD?si=3c1752cf7ec84d21,4/4,,F,,,,,,Major,,,,,,116,92,
Payphone,Maroon 5 feat. Wiz Khalifa,2012,4,Pop,R&B,N/A,N/A,N/A,https://open.spotify.com/track/1LmN9SSHISbtp9LoaR5ZVJ?si=3157df0a4e9f4058,4/4,,B,,,,,,Major,,,,,,110,,
Lights,Ellie Goulding,2012,5,Pop,N/A,Synth-pop,N/A,N/A,https://open.spotify.com/track/11ozIUBoXAgRTVWelDn4pL?si=a6a0284cfdea4781,4/4,,Ab,,,,,,Minor,,,,,,120,,
Thrift Shop,Macklemore and Ryan Lewis feat. Wanz,2013,1,Hip-hop,N/A,Pop-rap,Comedy hip-hop,N/A,https://open.spotify.com/track/7bYZBVrnRfqeaPbhRyEvK3?si=7ca4bba34a4c44ec,4/4,,G#,,,,,,Minor,,,,,,95,,
Blurred Lines,Robin Thicke feat. TI and Pharrell Williams,2013,2,Pop,R&B,N/A,N/A,N/A,https://open.spotify.com/track/0n4bITAu0Y0nigrz3MFJMb?si=d15d381395954b09,4/4,,G,,,,,,Major,,,,,,120,,
Radioactive,Imagine Dragons,2013,3,Rock,N/A,Electronic rock,Alternative rock,N/A,https://open.spotify.com/track/4G8gkOterJn0Ywt6uhqbhp?si=705882e7f4ec4947,4/4,,B,,,,,,Minor,,,,,,68,,
Harlem Shake,Baauer,2013,4,EDM/Dance,N/A,Bass,N/A,N/A,https://open.spotify.com/track/01XFgRZfZI7oBagNf1Loml?si=b76182454e584fe3,4/4,,Bb,,,,,,Minor,,,,,,138,,
Can't Hold Us,Macklemore and Ryan Lewis feat. Ray Dalton,2013,5,Hip-hop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn?si=b283f03cc8e34182,4/4,,E,,,,,,Minor,,,,,,146,,
Happy,Pharrell Williams,2014,1,Funk/Soul,N/A,Neo-soul,N/A,N/A,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH?si=4504591522ee4e2e,4/4,,F,,,,,,Minor,,,,,,160,,
Dark Horse,Katy Perry and Juicy J,2014,2,Hip-hop,Pop,Trap,Electropop,Pop rap,https://open.spotify.com/track/5jrdCoLpJSvHHorevXBATy?si=53fed5af5c9444fa,4/4,,F#,,,,,,Major,,,,,,132,,
All of Me,John Legend,2014,3,R&B,Funk/Soul,N/A,N/A,N/A,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a?si=287121ab532c4097,4/4,,F ,Ab,,,,,Minor,Major,,,,,126,,
Fancy,Iggy Azalea feat. Charli XCX,2014,4,Hip-hop,Pop,Hip house,Electropop,Pop rap,https://open.spotify.com/track/3oiMJQAWVaxSubJ7b2VUtX?si=9f03105df6724521,4/4,,Bb,,,,,,Minor,,,,,,95,,
Counting Stars,OneRepublic,2014,5,Pop,N/A,Folk pop,Pop rock,N/A,https://open.spotify.com/track/6sy3LkhNFjJWlaeSMNwQ62?si=20b7f8c495f84fc8,4/4,,C#,,,,,,Minor,,,,,,122,,
Uptown Funk,Mark Ronson feat. Bruno Mars,2015,1,Funk/Soul,Pop,Funk-pop,Boogie,Disco-pop,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS?si=e6cfc268934c4c16,4/4,,D,,,,,,Minor,,,,,,115,,
Thinking Out Loud,Ed Sheeran,2015,2,Pop,N/A,Blue-eyed soul,N/A,N/A,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg?si=76c4863e22f444ea,4/4,,D,,,,,,Major,,,,,,79,,
See You Again,Wiz Khalifa feat. Charlie Puth,2015,3,Hip-hop,Pop,Pop-rap,N/A,N/A,https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc?si=9e7861adcbe5411f,4/4,,Bb,,,,,,Major,,,,,,80,,
Trap Queen,Fetty Wap,2015,4,Hip-hop,N/A,Trap,Pop-rap,N/A,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ?si=29073dcf65d3496b,4/4,,A,,,,,,Minor,,,,,,148,,
Sugar,Maroon 5,2015,5,Funk/Soul,Pop,Disco,Funk-pop,N/A,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk?si=b0c2cbfaaa7d4e84,4/4,,Db,,,,,,Major,,,,,,120,,
Love Yourself,Justin Bieber,2016,1,Pop,N/A,Folk pop,N/A,N/A,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0?si=80aaffc7a8f54f8d,4/4,,E,,,,,,Major,,,,,,100,,
Sorry,Justin Bieber,2016,2,EDM/Dance,Pop,Dancehall pop,Tropical house,Moombahton,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF?si=e71d795f974f479e,4/4,,Eb,,,,,,Major,,,,,,100,,
One Dance,Drake feat. Wizkid and Kyla,2016,3,Pop,EDM/Dance,Dancehall,Afrobeats,UK funky,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0?si=455b863dc327473a,4/4,,Bb,,,,,,Major,,,,,,104,,
Work,Rihanna feat. Drake,2016,4,Pop,N/A,Dancehall,Reggae-pop,N/A,https://open.spotify.com/track/72TFWvU3wUYdUuxejTTIzt?si=e11c3a6c6c8b4a10,4/4,,B,,,,,,Major,,,,,,92,,
Stressed Out,Twenty One Pilots,2016,5,Hip-hop,Rock,Alternative hip-hop,Alternative rock,Rap rock,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn?si=157c0d6a87e84bc9,4/4,,A,,,,,,Minor,,,,,,85,,
