Title,Artist,Year,Position,Genre (Broad 1),Genre (Broad 2),Genre (Specific 1),Genre (Specific 2),Genre (Specific 3),Link to Audio,Time Signature 1,Time Signature 2,Tonic 1,Tonic 2,Tonic 3,Tonic 4,Tonic 5,Tonic 6,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,BPM 1,BPM 2,BPM 3
Volare (Nel blu dipinto di blu),Domenico Modugno,1958,1,Pop,N/A,Chanson,N/A,N/A,https://open.spotify.com/track/006Ndmw2hHxvnLbJsBFnPx?si=6ff2887953624afa,4/4,,Bb,,,,,,Major,,,,,,112,80,128
All I Have to Do Is Dream,The Everly Brothers,1958,2a,Rock,Pop,Jangle pop,N/A,N/A,https://open.spotify.com/track/0Q1tq0hFra4W9k6kx1MSjG?si=ba15e906760540d8,4/4,,E,,,,,,Major,,,,,,96,,
Claudette,The Everly Brothers,1958,2b,Rock,N/A,Rockabilly,N/A,N/A,https://open.spotify.com/track/74IwXEGW2zEcvliuvj9Nry?si=616a4b7df6c44654,4/4,,E,,,,,,Major,,,,,,156,,
Don't,Elvis Presley,1958,3a,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/4fgMsJGLDqy4HsJFRgaVNG?si=4af4d0de84684543,4/4,,D,,,,,,Major,,,,,,67,,
I Beg of You,Elvis Presley,1958,3b,R&B,Rock,Doo-wop,N/A,N/A,https://open.spotify.com/track/7nAQlvws6GX1osYmndhvTa?si=08eeae894c774828,4/4,,C,,,,,,Major,,,,,,164,,
Witch Doctor,David Seville,1958,4,Rock,N/A,Rockabilly,N/A,N/A,https://open.spotify.com/track/4kovpzSYYoguJxUXQesQ13?si=e63145fb4e104ea5,4/4,,Bb,B,C,,,,Major,Major,Major,,,,139,,
Patricia,Perez Prado,1958,5,Latin,Jazz,N/A,N/A,N/A,https://open.spotify.com/track/2bwhOdCOLgQ8v6xStAqnju?si=13aacb560b8b4df3,12/8,,Db,,,,,,Major,,,,,,137,,
The Battle of New Orleans,Johnny Horton,1959,1,Country,N/A,N/A,N/A,N/A,https://open.spotify.com/track/66eFGhs8LXeBgrXk0YgRJK?si=25bd09cf91784243,12/8,,A,,,,,,Major,,,,,,89,,
Mack the Knife,Bobby Darin,1959,2,Pop,Jazz,N/A,N/A,N/A,https://open.spotify.com/track/3E5ndyOfO6vFDEIE42HA8o?si=ebcb91b2db754863,4/4,,Bb,E,C,Db,D,Eb,Major,Major,Major,Major,Major,Major,85,,
Personality,Lloyd Price,1959,3,R&B,Rock,N/A,N/A,N/A,https://open.spotify.com/track/5vjigjfoXuJEttqLB3HTAg?si=ca705716293a4988,12/8,,F,,,,,,Major,,,,,,129,,
Venus,Frankie Avalon,1959,4,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/5kqXQHIgQ6UfFP9LfqPNgG?si=2c55356c71f940b1,4/4,,Bb,,,,,,Major,,,,,,115,,
Lonely Boy,Paul Anka,1959,5,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/4kh2S9hRpPvoF9JkwZcYGN?si=aa8feb2767184943,6/8,,C,,,,,,Major,,,,,,106,,
"The Theme from ""A Summer Place""",Percy Faith,1960,1,Pop,N/A,Easy listening,N/A,N/A,https://open.spotify.com/track/6zwvB879PJSpTyFcg2wwnL?si=d84c938ad8294aad,6/8,,F,A,,,,,Major,Major,,,,,93,,
He'll Have to Go,Jim Reeves,1960,2,Country,N/A,Nashville Sound,N/A,N/A,https://open.spotify.com/track/0HAfPU3oUhlY8VpdVAgIlt?si=6399452bd89146f9,9/8,,Db,,,,,,Major,,,,,,81,,
Cathy's Clown,The Everly Brothers,1960,3,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/6wKXuvOQxG5Ui1Kv2F68E9?si=004808aeb1c44d5c,4/4,,G,,,,,,Major,,,,,,120,,
Running Bear,Johnny Preston,1960,4,Rock,N/A,Rockabilly,N/A,N/A,https://open.spotify.com/track/1RYznli2VNO7FCbW1Hq4KM?si=6d7be1426aa04c42,4/4,12/8,F,,,,,,Minor,,,,,,120,,
Teen Angel,Mark Dinning,1960,5,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/36NPEs4S7ik50NrlzaqoIJ?si=aa97cf9f2a0c4293,4/4,,C,,,,,,Major,,,,,,82,102,
